YEAR_PATH_STARTED,REGION,AGE_GROUP,GENDER,STUDENT_COUNT,TOTAL_STUDENTS_YEAR,PCT_OF_YEAR,REGIONAL_POPULATION,STUDENTS_PER_100K_INHABITANTS
2023,Auvergne-Rhône-Alpes,30-34 ans,Non renseigné,8,1150,0.7,,
2023,Hauts-de-France,20-24 ans,F,1,1150,0.09,183597.0,0.5447
2023,Normandie,35-39 ans,F,2,1150,0.17,99944.0,2.0011
2023,DROM,35-39 ans,Non renseigné,1,1150,0.09,,
2024,Nouvelle-Aquitaine,40-44 ans,F,4,850,0.47,,
2024,Grand Est,20-24 ans,M,4,850,0.47,,
2022,Normandie,30-34 ans,Non renseigné,5,1696,0.29,,
2023,Bourgogne-Franche-Comté,30-34 ans,F,2,1150,0.17,73157.0,2.7338
2025,Pays de la Loire,45-49 ans,F,3,951,0.32,,
2025,Auvergne-Rhône-Alpes,50-54 ans,F,2,951,0.21,,
2022,Provence-Alpes-Côte d'Azur,40-44 ans,M,6,1696,0.35,151410.0,3.9628
2022,Centre-Val de Loire,40-44 ans,M,5,1696,0.29,74453.0,6.7156
2022,Centre-Val de Loire,25-29 ans,M,1,1696,0.06,62811.0,1.5921
2022,Centre-Val de Loire,30-34 ans,M,3,1696,0.18,69268.0,4.331
2025,Auvergne-Rhône-Alpes,35-39 ans,F,4,951,0.42,,
2023,DROM,35-39 ans,F,1,1150,0.09,,
2024,Occitanie,40-44 ans,Non renseigné,1,850,0.12,,
2023,Provence-Alpes-Côte d'Azur,60 ans ou plus,Non renseigné,1,1150,0.09,,
2025,Provence-Alpes-Côte d'Azur,20-24 ans,F,2,951,0.21,,
2025,Auvergne-Rhône-Alpes,45-49 ans,F,1,951,0.11,,
2024,Occitanie,30-34 ans,Non renseigné,1,850,0.12,,
2024,Normandie,30-34 ans,Non renseigné,1,850,0.12,,
2025,Grand Est,40-44 ans,F,1,951,0.11,,
2023,Occitanie,35-39 ans,M,2,1150,0.17,172864.0,1.157
2025,Occitanie,40-44 ans,M,2,951,0.21,,
2022,DROM,30-34 ans,M,3,1696,0.18,,
2024,Île-de-France,55-59 ans,F,1,850,0.12,,
2025,Bretagne,20-24 ans,M,3,951,0.32,,
2024,Hauts-de-France,35-39 ans,F,2,850,0.24,,
2023,Bretagne,55-59 ans,M,1,1150,0.09,111240.0,0.899
2025,Nouvelle-Aquitaine,40-44 ans,M,1,951,0.11,,
2024,DROM,45-49 ans,M,2,850,0.24,,
2025,Île-de-France,55-59 ans,F,1,951,0.11,,
2024,Hauts-de-France,45-49 ans,Non renseigné,1,850,0.12,,
2023,DROM,20-24 ans,Non renseigné,1,1150,0.09,,
2022,Occitanie,25-29 ans,F,1,1696,0.06,157947.0,0.6331
2025,Pays de la Loire,50-54 ans,M,1,951,0.11,,
2022,Occitanie,60 ans ou plus,Non renseigné,2,1696,0.12,,
2024,Auvergne-Rhône-Alpes,50-54 ans,Non renseigné,1,850,0.12,,
2024,Bretagne,55-59 ans,M,1,850,0.12,,
2023,DROM,50-54 ans,M,1,1150,0.09,,
2023,Auvergne-Rhône-Alpes,50-54 ans,Non renseigné,2,1150,0.17,,
2023,Bretagne,50-54 ans,M,1,1150,0.09,115090.0,0.8689
2025,Bretagne,60 ans ou plus,Non renseigné,1,951,0.11,,
2022,Île-de-France,25-29 ans,Non renseigné,62,1696,3.66,,
2024,Grand Est,50-54 ans,M,1,850,0.12,,
2022,Bourgogne-Franche-Comté,30-34 ans,M,6,1696,0.35,74576.0,8.0455
2025,Occitanie,25-29 ans,M,12,951,1.26,,
2025,Grand Est,35-39 ans,F,4,951,0.42,,
2025,Auvergne-Rhône-Alpes,40-44 ans,Non renseigné,1,951,0.11,,
2025,Île-de-France,25-29 ans,M,51,951,5.36,,
2023,Île-de-France,35-39 ans,M,46,1150,4.0,413429.0,11.1265
2024,Nouvelle-Aquitaine,25-29 ans,M,13,850,1.53,,
2022,Occitanie,35-39 ans,M,12,1696,0.71,173353.0,6.9223
2023,Provence-Alpes-Côte d'Azur,30-34 ans,M,12,1150,1.04,140442.0,8.5445
2025,Centre-Val de Loire,25-29 ans,M,6,951,0.63,,
2023,Hauts-de-France,30-34 ans,M,9,1150,0.78,174892.0,5.146
2022,Nouvelle-Aquitaine,35-39 ans,M,11,1696,0.65,169282.0,6.498
2024,Pays de la Loire,50-54 ans,F,1,850,0.12,,
2022,Nouvelle-Aquitaine,50-54 ans,Non renseigné,5,1696,0.29,,
2022,Île-de-France,30-34 ans,F,37,1696,2.18,464175.0,7.9711
2023,Bourgogne-Franche-Comté,25-29 ans,M,4,1150,0.35,69836.0,5.7277
2024,Auvergne-Rhône-Alpes,30-34 ans,M,12,850,1.41,,
2024,Normandie,35-39 ans,Non renseigné,2,850,0.24,,
2023,Grand Est,30-34 ans,M,10,1150,0.87,163690.0,6.1091
2023,Pays de la Loire,55-59 ans,F,1,1150,0.09,124747.0,0.8016
2024,Bretagne,30-34 ans,M,4,850,0.47,,
2022,Centre-Val de Loire,35-39 ans,Non renseigné,5,1696,0.29,,
2023,Normandie,30-34 ans,F,2,1150,0.17,92082.0,2.172
2024,Pays de la Loire,25-29 ans,M,4,850,0.47,,
2022,Île-de-France,60 ans ou plus,Non renseigné,11,1696,0.65,,
2023,Auvergne-Rhône-Alpes,30-34 ans,M,9,1150,0.78,242741.0,3.7077
2025,DROM,35-39 ans,M,2,951,0.21,,
2022,Occitanie,40-44 ans,Non renseigné,7,1696,0.41,,
2025,Occitanie,55-59 ans,M,4,951,0.42,,
2022,Grand Est,55-59 ans,Non renseigné,2,1696,0.12,,
2025,Île-de-France,30-34 ans,Non renseigné,7,951,0.74,,
2022,Auvergne-Rhône-Alpes,40-44 ans,F,5,1696,0.29,263118.0,1.9003
2024,Pays de la Loire,30-34 ans,M,3,850,0.35,,
2023,Grand Est,30-34 ans,Non renseigné,4,1150,0.35,,
2022,Pays de la Loire,25-29 ans,F,2,1696,0.12,99107.0,2.018
2022,Pays de la Loire,35-39 ans,Non renseigné,6,1696,0.35,,
2023,Normandie,35-39 ans,Non renseigné,4,1150,0.35,,
2025,DROM,30-34 ans,M,3,951,0.32,,
2025,Provence-Alpes-Côte d'Azur,40-44 ans,F,5,951,0.53,,
2023,Hauts-de-France,30-34 ans,Non renseigné,5,1150,0.43,,
2022,Île-de-France,20-24 ans,Non renseigné,4,1696,0.24,,
2025,Île-de-France,20-24 ans,F,6,951,0.63,,
2025,Auvergne-Rhône-Alpes,55-59 ans,F,2,951,0.21,,
2023,Auvergne-Rhône-Alpes,40-44 ans,F,2,1150,0.17,268247.0,0.7456
2022,Pays de la Loire,25-29 ans,Non renseigné,4,1696,0.24,,
2025,Auvergne-Rhône-Alpes,40-44 ans,F,2,951,0.21,,
2023,Bretagne,40-44 ans,Non renseigné,4,1150,0.35,,
2023,Provence-Alpes-Côte d'Azur,35-39 ans,M,5,1150,0.43,146285.0,3.418
2025,Pays de la Loire,45-49 ans,M,3,951,0.32,,
2023,Auvergne-Rhône-Alpes,60 ans ou plus,M,1,1150,0.09,4972183.0,0.0201
2022,DROM,45-49 ans,M,2,1696,0.12,,
2022,Bourgogne-Franche-Comté,25-29 ans,M,4,1696,0.24,70167.0,5.7007
