year,region,age_group,gender,population
2023,Centre-Val de Loire,60 ans ou plus,M,1596613
2023,Corse,20-24 ans,F,7733
2023,Corse,20-24 ans,M,8356
2023,Corse,25-29 ans,F,9207
2023,Corse,25-29 ans,M,8586
2023,Corse,30-34 ans,F,10435
2023,Corse,30-34 ans,M,10093
2023,Corse,35-39 ans,F,11418
2023,Corse,35-39 ans,M,10363
2023,Corse,40-44 ans,F,12169
2023,Corse,40-44 ans,M,11232
2023,Corse,45-49 ans,F,11873
2023,Corse,45-49 ans,M,10809
2023,Corse,50-54 ans,F,12698
2023,Corse,50-54 ans,M,12420
2023,Corse,55-59 ans,F,12236
2023,Corse,55-59 ans,M,11741
2023,Corse,60 ans ou plus,F,240047
2023,Corse,60 ans ou plus,M,221522
2023,Grand Est,20-24 ans,F,156422
2023,Grand Est,20-24 ans,M,169813
2023,Grand Est,25-29 ans,F,148660
2023,Grand Est,25-29 ans,M,154220
2023,Grand Est,30-34 ans,F,164561
2023,Grand Est,30-34 ans,M,163690
2023,Grand Est,35-39 ans,F,173030
2023,Grand Est,35-39 ans,M,167425
2023,Grand Est,40-44 ans,F,175989
2023,Grand Est,40-44 ans,M,170898
2023,Grand Est,45-49 ans,F,169889
2023,Grand Est,45-49 ans,M,167287
2023,Grand Est,50-54 ans,F,187918
2023,Grand Est,50-54 ans,M,185965
2023,Grand Est,55-59 ans,F,193423
2023,Grand Est,55-59 ans,M,187037
2023,Grand Est,60 ans ou plus,F,3721601
2023,Grand Est,60 ans ou plus,M,3417562
2023,Hauts-de-France,20-24 ans,F,183597
2023,Hauts-de-France,20-24 ans,M,191023
2023,Hauts-de-France,25-29 ans,F,166214
2023,Hauts-de-France,25-29 ans,M,164995
2023,Hauts-de-France,30-34 ans,F,179242
2023,Hauts-de-France,30-34 ans,M,174892
2023,Hauts-de-France,35-39 ans,F,191708
2023,Hauts-de-France,35-39 ans,M,182862
2023,Hauts-de-France,40-44 ans,F,193570
2023,Hauts-de-France,40-44 ans,M,187291
2023,Hauts-de-France,45-49 ans,F,187043
2023,Hauts-de-France,45-49 ans,M,184115
2023,Hauts-de-France,50-54 ans,F,195356
2023,Hauts-de-France,50-54 ans,M,192765
2023,Hauts-de-France,55-59 ans,F,192434
2023,Hauts-de-France,55-59 ans,M,185099
2023,Hauts-de-France,60 ans ou plus,F,3946629
2023,Hauts-de-France,60 ans ou plus,M,3567064
2023,Normandie,20-24 ans,F,90283
2023,Normandie,20-24 ans,M,96332
2023,Normandie,25-29 ans,F,83489
2023,Normandie,25-29 ans,M,85209
2023,Normandie,30-34 ans,F,92082
2023,Normandie,30-34 ans,M,91272
2023,Normandie,35-39 ans,F,99944
2023,Normandie,35-39 ans,M,95612
2023,Normandie,40-44 ans,F,101760
2023,Normandie,40-44 ans,M,99175
2023,Normandie,45-49 ans,F,99420
2023,Normandie,45-49 ans,M,96834
2023,Normandie,50-54 ans,F,109572
2023,Normandie,50-54 ans,M,106905
2023,Normandie,55-59 ans,F,111391
2023,Normandie,55-59 ans,M,106219
2023,Normandie,60 ans ou plus,F,2258637
2023,Normandie,60 ans ou plus,M,2039067
2023,Nouvelle-Aquitaine,20-24 ans,F,158187
2023,Nouvelle-Aquitaine,20-24 ans,M,169551
2023,Nouvelle-Aquitaine,25-29 ans,F,148119
2023,Nouvelle-Aquitaine,25-29 ans,M,148952
2023,Nouvelle-Aquitaine,30-34 ans,F,164820
2023,Nouvelle-Aquitaine,30-34 ans,M,159057
2023,Nouvelle-Aquitaine,35-39 ans,F,178633
2023,Nouvelle-Aquitaine,35-39 ans,M,168817
2023,Nouvelle-Aquitaine,40-44 ans,F,190358
2023,Nouvelle-Aquitaine,40-44 ans,M,182296
2023,Nouvelle-Aquitaine,45-49 ans,F,191370
2023,Nouvelle-Aquitaine,45-49 ans,M,184158
2023,Nouvelle-Aquitaine,50-54 ans,F,210991
2023,Nouvelle-Aquitaine,50-54 ans,M,202569
2023,Nouvelle-Aquitaine,55-59 ans,F,213246
2023,Nouvelle-Aquitaine,55-59 ans,M,199920
2023,Nouvelle-Aquitaine,60 ans ou plus,F,4253712
2023,Nouvelle-Aquitaine,60 ans ou plus,M,3806789
2023,Occitanie,20-24 ans,F,167415
2023,Occitanie,20-24 ans,M,176840
2023,Occitanie,25-29 ans,F,158567
2023,Occitanie,25-29 ans,M,161642
2023,Occitanie,30-34 ans,F,172909
2023,Occitanie,30-34 ans,M,166825
2023,Occitanie,35-39 ans,F,182751
2023,Occitanie,35-39 ans,M,172864
2023,Occitanie,40-44 ans,F,192540
2023,Occitanie,40-44 ans,M,184574
2023,Occitanie,45-49 ans,F,188107
2023,Occitanie,45-49 ans,M,180677
2023,Occitanie,50-54 ans,F,206824
2023,Occitanie,50-54 ans,M,197884
2023,Occitanie,55-59 ans,F,210756
2023,Occitanie,55-59 ans,M,197010
2023,Occitanie,60 ans ou plus,F,4174279
2023,Occitanie,60 ans ou plus,M,3769874
2023,Pays de la Loire,20-24 ans,F,108726
2023,Pays de la Loire,20-24 ans,M,116712
2023,Pays de la Loire,25-29 ans,F,100014
2023,Pays de la Loire,25-29 ans,M,102135
2023,Pays de la Loire,30-34 ans,F,108668
2023,Pays de la Loire,30-34 ans,M,109225
2023,Pays de la Loire,35-39 ans,F,117611
2023,Pays de la Loire,35-39 ans,M,113852
2023,Pays de la Loire,40-44 ans,F,124952
2023,Pays de la Loire,40-44 ans,M,123037
2023,Pays de la Loire,45-49 ans,F,121771
2023,Pays de la Loire,45-49 ans,M,121395
2023,Pays de la Loire,50-54 ans,F,127878
2023,Pays de la Loire,50-54 ans,M,127882
2023,Pays de la Loire,55-59 ans,F,124747
2023,Pays de la Loire,55-59 ans,M,121448
2023,Pays de la Loire,60 ans ou plus,F,2613378
2023,Pays de la Loire,60 ans ou plus,M,2397091
2023,Provence-Alpes-Côte d'Azur,20-24 ans,F,133538
2023,Provence-Alpes-Côte d'Azur,20-24 ans,M,139763
2023,Provence-Alpes-Côte d'Azur,25-29 ans,F,130512
2023,Provence-Alpes-Côte d'Azur,25-29 ans,M,126587
2023,Provence-Alpes-Côte d'Azur,30-34 ans,F,150339
2023,Provence-Alpes-Côte d'Azur,30-34 ans,M,140442
2023,Provence-Alpes-Côte d'Azur,35-39 ans,F,159522
2023,Provence-Alpes-Côte d'Azur,35-39 ans,M,146285
2023,Provence-Alpes-Côte d'Azur,40-44 ans,F,165230
2023,Provence-Alpes-Côte d'Azur,40-44 ans,M,153433
2023,Provence-Alpes-Côte d'Azur,45-49 ans,F,158952
2023,Provence-Alpes-Côte d'Azur,45-49 ans,M,150676
2023,Provence-Alpes-Côte d'Azur,50-54 ans,F,176434
2023,Provence-Alpes-Côte d'Azur,50-54 ans,M,165319
2023,Provence-Alpes-Côte d'Azur,55-59 ans,F,183831
2023,Provence-Alpes-Côte d'Azur,55-59 ans,M,165598
